13 5 11 15 13 14 8 7 14 15 15 14 15 15 15 1 7 13 7 15 15 3 11 15 7 4 2 11 7 7 2 3 15 11 15 0.027235718443989754
13 13 13 13 3 15 15 15 15 15 8 2 15 15 13 7 15 9 11 7 11 10 3 6 15 13 15 15 14 7 15 12 15 13 11 0.04579247161746025
15 0 15 15 15 11 15 15 12 10 3 15 15 15 3 15 11 15 0 11 11 11 11 11 0 9 15 15 6 11 2 15 15 11 15 0.04717491194605827
15 9 15 10 15 10 15 11 1 15 14 11 11 11 3 14 14 11 11 3 9 11 5 10 11 12 12 11 15 6 11 5 0 5 1 0.06741371005773544
9 3 10 15 6 15 15 15 1 15 15 15 15 15 15 15 2 15 15 0 3 13 15 15 15 15 14 15 15 4 7 11 11 14 7 0.11438348889350891
15 2 10 15 15 15 15 8 12 15 10 15 15 0 15 2 15 15 6 11 11 13 6 0 11 12 8 15 11 11 11 5 9 1 15 0.051482707262039185
15 15 5 15 11 15 14 14 15 11 15 15 15 3 15 14 14 7 12 8 11 11 14 15 15 15 1 5 15 2 0 9 14 12 15 0.06298543512821198
0 0 3 7 0 0 10 8 5 6 2 3 2 2 15 0 0 7 5 12 12 6 1 15 0 2 6 2 2 2 11 11 7 7 7 0.08442405611276627
4 5 1 15 12 0 13 1 12 1 14 0 1 9 15 1 15 1 3 3 14 11 11 1 11 11 11 9 15 11 11 11 8 8 1 0.05906498059630394
14 14 13 14 14 0 14 14 14 14 13 14 11 15 9 15 10 14 11 2 15 15 7 11 11 10 15 11 11 3 11 11 11 11 9 0.060592446476221085
5 1 14 14 15 1 14 12 11 12 12 12 9 13 9 9 8 2 10 2 2 9 0 2 7 6 2 2 2 6 7 11 14 15 11 0.03545338287949562
9 4 9 9 9 8 9 9 0 9 12 8 11 5 2 3 2 8 13 2 2 1 11 11 11 5 11 7 7 1 14 15 9 15 0 0.021127523854374886
4 12 4 4 4 4 14 14 11 14 6 1 2 9 3 2 0 13 2 2 14 0 15 14 11 11 5 8 14 2 13 2 1 7 5 0.03309212997555733
5 14 14 2 11 14 11 14 14 14 2 14 7 14 14 6 0 0 0 13 2 2 2 7 7 2 2 2 3 2 7 15 3 15 0 0.05156611278653145
13 13 13 4 13 13 13 10 13 13 13 13 13 13 13 13 1 13 14 14 6 3 15 15 7 4 15 15 6 11 13 0 11 15 13 0.22280634939670563
13 5 13 2 13 13 12 7 13 13 13 1 13 13 7 13 13 10 11 13 13 13 13 13 13 2 2 8 2 2 1 2 2 5 14 0.0536794476211071
5 1 15 1 10 10 10 10 11 11 11 3 15 10 15 4 7 1 12 15 10 2 1 1 1 11 1 6 0 14 1 3 15 15 15 0.1601349115371704
4 2 8 4 9 4 1 1 3 4 4 1 10 10 10 12 8 12 9 1 1 1 1 1 2 11 11 15 15 1 13 12 12 14 13 0.059251561760902405
8 4 1 5 7 15 10 10 10 10 12 10 10 10 10 10 10 2 2 4 10 14 10 6 15 0 4 4 3 8 2 11 11 11 15 0.15496651828289032
13 13 8 13 0 6 4 5 13 13 13 13 12 8 0 8 13 2 1 1 11 11 11 11 4 11 11 2 11 13 15 2 14 15 6 0.2063097506761551
13 3 3 14 5 10 4 8 14 1 0 14 14 14 14 10 14 14 14 11 14 14 14 14 14 6 3 5 3 3 3 3 3 3 0 0.08089511096477509
